cluster,city,goodsan,goodwat,radio,tv,sumasset,lisradio,gradef,pregnant,curuse,curmeth,fpmess,partner,idealnum,gradep,agef,addesir,hofp5,hcfp5,difp5,notpreg
1,1,0,1,1,0,2,0,3,0,0,3,1,1,5,7,25,2,1,0,0,1
204,1,0,1,1,0,1,1,7,0,1,1,1,1,4,6,30,2,1,1,0,1
64,0,0,1,1,0,1,0,0,0,0,3,0,0,10,0,32,10,1,0,1,1
66,1,0,1,1,0,1,1,0,0,0,3,1,1,10,8,35,5,1,1,1,1
67,1,0,1,0,0,0,1,7,0,1,1,1,1,4,12,32,3,1,1,1,1
141,0,0,0,0,0,1,1,7,0,0,3,0,0,5,0,15,5,0,1,0,1
65,0,0,1,1,0,1,1,0,0,0,3,1,1,10,4,44,8,1,0,0,1
35,1,0,1,1,0,1,1,7,0,0,3,0,0,3,0,41,0,0,0,1,1
189,0,0,1,1,,1,1,0,0,0,3,0,1,4,,49,-2,1,0,0,1
117,1,0,1,1,0,2,1,7,0,0,1,1,1,4,7,22,3,0,0,0,1
237,0,0,1,0,0,0,1,7,0,0,3,0,1,6,7,20,4,1,0,1,1
125,0,0,1,1,0,1,1,6,1,,3,1,1,5,4,27,3,0,0,0,0
67,1,1,1,1,1,6,1,12,0,0,3,0,0,4,0,21,4,1,1,1,1
254,1,0,1,1,0,1,1,7,0,0,3,1,0,2,0,24,1,1,0,1,1
100,1,0,1,1,0,2,1,7,0,1,2,1,0,4,0,19,4,1,1,0,1
64,0,0,1,0,0,1,0,0,0,0,3,1,1,5,2,46,0,1,0,1,1
64,0,0,1,1,0,2,1,7,0,0,3,1,1,6,,29,2,1,0,1,1
64,0,0,0,1,0,2,1,7,0,1,1,1,1,6,7,29,3,1,0,1,1
64,0,0,0,0,0,0,1,0,0,1,1,1,0,6,0,33,2,1,0,1,1
19,0,0,1,0,0,0,1,7,0,0,3,1,0,6,0,15,6,0,0,1,1
204,1,1,1,1,0,2,1,7,0,0,3,1,0,6,0,17,6,1,1,0,1
251,0,0,0,1,0,2,1,0,0,0,3,0,1,4,7,19,3,1,0,0,1
64,0,0,0,1,0,2,0,7,1,,3,0,1,3,,20,2,1,0,1,0
64,0,0,1,0,0,1,0,0,0,0,3,0,1,10,4,37,4,1,0,1,1
299,1,0,1,1,0,2,1,7,0,0,3,1,0,5,0,27,3,1,0,1,1
173,0,0,1,1,0,2,1,7,0,0,3,0,0,3,0,18,3,1,0,1,1
191,1,0,0,1,0,1,1,4,0,0,3,0,1,6,7,44,0,0,1,0,1
104,,0,1,1,0,1,1,7,1,,3,1,1,3,12,28,2,1,1,1,0
254,1,0,1,1,0,1,1,7,1,,3,1,1,4,8,31,1,1,0,1,0
67,1,0,1,1,0,1,1,7,0,0,3,1,0,5,0,16,5,1,1,1,1
103,1,0,1,1,0,3,1,7,0,0,1,1,1,10,4,41,6,0,1,1,1
297,0,0,0,0,0,1,0,5,0,0,3,0,0,5,0,16,5,0,1,1,1
34,1,1,1,1,0,2,1,7,0,0,3,1,0,3,0,18,3,1,0,0,1
160,1,0,0,1,0,1,1,7,0,0,3,0,1,3,12,19,2,1,0,1,1
122,1,0,1,0,0,0,1,7,0,0,1,0,1,5,7,46,4,0,1,0,1
122,1,0,1,1,0,2,1,0,0,0,3,0,0,12,0,15,12,0,1,0,1
17,1,0,1,1,0,2,1,7,0,1,1,0,1,4,7,29,2,1,1,0,1
1,1,0,1,1,0,1,1,3,0,0,3,0,0,8,0,49,6,1,0,0,1
142,0,0,1,1,0,2,1,7,0,0,3,0,1,5,7,20,4,1,0,1,1
1,1,0,1,1,0,1,0,0,0,0,3,0,0,10,0,32,10,1,0,0,1
67,1,1,1,1,1,6,1,12,0,0,3,1,0,2,0,25,2,1,1,1,1
97,1,0,1,0,0,0,1,7,0,0,3,1,1,6,7,22,6,0,1,1,1
81,0,0,1,1,0,1,1,12,0,0,3,1,1,4,12,31,4,0,0,0,1
96,1,0,1,1,0,2,1,6,1,,3,1,1,4,12,24,3,1,0,1,0
141,0,0,0,0,0,1,0,0,0,0,3,0,1,,,43,,0,1,0,1
115,1,1,1,1,1,5,1,7,0,0,3,0,0,3,0,27,3,0,0,1,1
112,1,0,1,1,0,2,1,7,0,0,3,1,1,2,7,25,0,0,0,0,1
